"estimateID"	"estimator"	"studyID"	"groupID"	"sex"	"common.name"	"phylum"	"class"	"order"	"fam"	"genus"	"species"	"enrich"	"capt.gens"	"scope"	"strategy"	"n1i"	"m1i"	"sd1i"	"n2i"	"m2i"	"sd2i"	"A"	"C"	"B"	"D"	"PrintYear"	"enrich.present"	"capt.present"	"enrich.bin"	"capt.bin"
225	"SMD"	30	122	"Mixed"	"North Africa Houbara"	"Chordata"	"Aves"	"Otidiformes"	"Otididae"	"Chlamydotis"	"undulata"	0	5.5	"Survival"	"ISR"	575	0.99	0.06	546	0.98	0.09	NA	NA	NA	NA	2019	1	1	0	2
470	"SMD"	81	245	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	50	0.56	0.06	150	0.58	0.17	NA	NA	NA	NA	2018	0	0	0	0
742	"SMD"	124	372	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	4	0.24	0.06	17	0.19	0.05	NA	NA	NA	NA	2019	0	0	0	0
469	"SMD"	81	244	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	13	0.53	0.07	20	0.58	0.11	NA	NA	NA	NA	2018	0	0	0	0
735	"SMD"	124	365	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	20	0.26	0.07	2	0.18	0.05	NA	NA	NA	NA	2019	0	0	0	0
737	"SMD"	124	367	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	36	0.25	0.07	77	0.21	0.06	NA	NA	NA	NA	2019	0	0	0	0
740	"SMD"	124	370	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	18	0.23	0.07	37	0.23	0.06	NA	NA	NA	NA	2019	0	0	0	0
597	"SMD"	106	284	"Mixed"	"Brown trout"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Salmo"	"trutta"	-1	1.5	"Growth"	"ISR"	13	0.06	0.073	15	0.038	0.067	NA	NA	NA	NA	2010	0	1	0	1
1062	"SMD"	178	535	"Female"	"Cougar"	"Chordata"	"Mammalia"	"Carnivora"	"Felidae"	"Puma"	"concolor"	-1	0	"Survival"	"ESR"	14	0.92	0.077459667	6	0.46	0.204939015	NA	NA	NA	NA	1998	0	1	0	0
300	"SMD"	42	163	"Mixed"	"Eastern painted turtle"	"Chordata"	"Reptilia"	"Testudines"	"Emydidae"	"Chrysemys"	"picta"	1	0	"Movement"	"ESR"	60	-0.25	0.08	10	-0.62	0.13	NA	NA	NA	NA	2018	1	1	1	0
306	"SMD"	42	164	"Mixed"	"Eastern painted turtle"	"Chordata"	"Reptilia"	"Testudines"	"Emydidae"	"Chrysemys"	"picta"	0	0	"Movement"	"ESR"	60	-0.25	0.08	30	-0.62	0.13	NA	NA	NA	NA	2018	1	1	0	0
457	"SMD"	79	233	"Mixed"	"Adder"	"Chordata"	"Reptilia"	"Squamata"	"Viperidae"	"Vipera"	"berus"	-1	0	"Movement"	"ESR"	4	-0.07	0.08	5	-1	1.34	NA	NA	NA	NA	2018	0	1	0	0
738	"SMD"	124	368	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	24	0.21	0.08	78	0.22	0.07	NA	NA	NA	NA	2019	0	0	0	0
574	"SMD"	104	281	"Mixed"	"European grayling"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Thymallus"	"thymallus"	1	1.5	"Movement"	"ISR"	49	0.16013982	0.086267911	14	0.05678741	0.055617246	NA	NA	NA	NA	2010	1	1	1	1
584	"SMD"	104	282	"Mixed"	"European grayling"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Thymallus"	"thymallus"	0	1.5	"Movement"	"ISR"	49	0.16013982	0.086267911	13	0.09676318	0.045675262	NA	NA	NA	NA	2010	1	1	0	1
1036	"SMD"	168	519	"Mixed"	"Northern bobwhite quail"	"Chordata"	"Aves"	"Galliformes"	"Odontophoridae"	"Colinus"	"virginianus"	-1	0	"Reproduction"	"ESR"	92	0.9713	0.086544786	45	0.9692	0.0893868	NA	NA	NA	NA	2006	0	1	0	0
56	"SMD"	9	34	"Mixed"	"Key Largo woodrat"	"Chordata"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotoma"	"floridana"	-1	3	"Survival"	"ISR"	58	0.94	0.09	40	0.56	0.22	NA	NA	NA	NA	2013	0	1	0	2
203	"SMD"	26	116	"Mixed"	"Brown teal"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	"Anas"	"chlorotis"	-1	1.5	"Constitution"	"ISR"	42	0.2	0.09	7	0.17	0.04	NA	NA	NA	NA	2006	0	1	0	1
301	"SMD"	42	163	"Mixed"	"Eastern painted turtle"	"Chordata"	"Reptilia"	"Testudines"	"Emydidae"	"Chrysemys"	"picta"	1	0	"Movement"	"ESR"	60	0.52	0.09	10	0.27	0.05	NA	NA	NA	NA	2018	1	1	1	0
307	"SMD"	42	164	"Mixed"	"Eastern painted turtle"	"Chordata"	"Reptilia"	"Testudines"	"Emydidae"	"Chrysemys"	"picta"	0	0	"Movement"	"ESR"	60	0.52	0.09	30	0.26	0.06	NA	NA	NA	NA	2018	1	1	0	0
465	"SMD"	81	240	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	8	0.49	0.09	2	0.52	0.09	NA	NA	NA	NA	2018	0	0	0	0
466	"SMD"	81	241	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	74	0.55	0.09	108	0.53	0.09	NA	NA	NA	NA	2018	0	0	0	0
467	"SMD"	81	242	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	8	0.54	0.09	4	0.62	0.09	NA	NA	NA	NA	2018	0	0	0	0
468	"SMD"	81	243	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	72	0.55	0.09	23	0.62	0.09	NA	NA	NA	NA	2018	0	0	0	0
575	"SMD"	104	281	"Mixed"	"European grayling"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Thymallus"	"thymallus"	1	1.5	"Growth"	"ISR"	49	0.29	0.09	14	0.3	0.09	NA	NA	NA	NA	2010	1	1	1	1
585	"SMD"	104	282	"Mixed"	"European grayling"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Thymallus"	"thymallus"	0	1.5	"Growth"	"ISR"	49	0.29	0.09	13	0.25	0.07	NA	NA	NA	NA	2010	1	1	0	1
736	"SMD"	124	366	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	-1	"Growth"	"ISR"	27	0.24	0.09	20	0.22	0.06	NA	NA	NA	NA	2019	0	0	0	0
204	"SMD"	26	116	"Mixed"	"Brown teal"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	"Anas"	"chlorotis"	-1	1.5	"Constitution"	"ISR"	42	0.31	0.1	7	0.2	0.04	NA	NA	NA	NA	2006	0	1	0	1
1064	"SMD"	178	536	"Male"	"Cougar"	"Chordata"	"Mammalia"	"Carnivora"	"Felidae"	"Puma"	"concolor"	-1	0	"Survival"	"ESR"	11	0.88	0.109544512	4	0.26	0.202484567	NA	NA	NA	NA	1998	0	1	0	0
205	"SMD"	26	116	"Mixed"	"Brown teal"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	"Anas"	"chlorotis"	-1	1.5	"Constitution"	"ISR"	41	0.39	0.11	2	0.32	0.09	NA	NA	NA	NA	2006	0	1	0	1
1053	"SMD"	175	527	"Mixed"	"Monk seal"	"Chordata"	"Mammalia"	"Carnivora"	"Phocidae"	"Monachus"	"schauinslandi"	-1	0.5	"Survival"	"ISR"	34	0.9804444	0.116355009	40	0.815171	0.609223601	NA	NA	NA	NA	2011	0	1	0	1
1063	"SMD"	178	535	"Female"	"Cougar"	"Chordata"	"Mammalia"	"Carnivora"	"Felidae"	"Puma"	"concolor"	-1	0	"Survival"	"ESR"	14	0.81	0.122474487	8	0.66	0.192353841	NA	NA	NA	NA	1998	0	1	0	0
1014	"SMD"	164	507	"Mixed"	"Brown trout"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Salmo"	"trutta"	1	1.5	"Constitution"	"ISR"	10	1.12	0.126491106	10	1.65	0.695701085	NA	NA	NA	NA	2012	1	1	1	1
77	"SMD"	13	41	"Mixed"	"Puaiohi"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	"Myadestes"	"palmeri"	-1	1.5	"Survival"	"ISR"	45	0.41	0.13	11	0.4	0.58	NA	NA	NA	NA	2006	0	1	0	1
272	"SMD"	39	150	"Mixed"	"American alligator"	"Chordata"	"Reptilia"	"Crocodilia"	"Alligatoridae"	"Alligator"	"mississippiensis"	-1	0.5	"Survival"	"ISR"	8	0.23	0.13	10	0.26	0.12	NA	NA	NA	NA	2006	0	1	0	1
278	"SMD"	39	154	"Mixed"	"American alligator"	"Chordata"	"Reptilia"	"Crocodilia"	"Alligatoridae"	"Alligator"	"mississippiensis"	-1	0.5	"Survival"	"ISR"	8	0.23	0.13	5	0.18	0.11	NA	NA	NA	NA	2006	0	1	0	1
577	"SMD"	104	281	"Mixed"	"European grayling"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Thymallus"	"thymallus"	1	1.5	"Constitution"	"ISR"	49	1.21	0.13	14	1.25	0.13	NA	NA	NA	NA	2010	1	1	1	1
587	"SMD"	104	282	"Mixed"	"European grayling"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Thymallus"	"thymallus"	0	1.5	"Constitution"	"ISR"	49	1.21	0.13	13	1.15	0.15	NA	NA	NA	NA	2010	1	1	0	1
243	"SMD"	33	137	"Male"	"Trumpeter swan"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	"Cygnus"	"buccinator"	-1	2.5	"Survival"	"ISR"	36	0.98	0.14	125	0.98	0.21	NA	NA	NA	NA	2002	0	1	0	2
274	"SMD"	39	152	"Mixed"	"American alligator"	"Chordata"	"Reptilia"	"Crocodilia"	"Alligatoridae"	"Alligator"	"mississippiensis"	-1	0.5	"Survival"	"ISR"	8	0.26	0.14	5	0.16	0.1	NA	NA	NA	NA	2006	0	1	0	1
276	"SMD"	39	153	"Mixed"	"American alligator"	"Chordata"	"Reptilia"	"Crocodilia"	"Alligatoridae"	"Alligator"	"mississippiensis"	-1	0.5	"Survival"	"ISR"	6	0.2	0.14	19	0.24	0.12	NA	NA	NA	NA	2006	0	1	0	1
280	"SMD"	39	155	"Mixed"	"American alligator"	"Chordata"	"Reptilia"	"Crocodilia"	"Alligatoridae"	"Alligator"	"mississippiensis"	-1	0.5	"Survival"	"ISR"	8	0.26	0.14	5	0.12	0.09	NA	NA	NA	NA	2006	0	1	0	1
282	"SMD"	39	156	"Mixed"	"American alligator"	"Chordata"	"Reptilia"	"Crocodilia"	"Alligatoridae"	"Alligator"	"mississippiensis"	-1	0.5	"Survival"	"ISR"	6	0.2	0.14	4	0.15	0.11	NA	NA	NA	NA	2006	0	1	0	1
438	"SMD"	73	225	"Mixed"	"Hermann's tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Testudo"	"hermanni"	0	0	"Survival"	"ESR"	20	0.93	0.14	12	0.86	0.03	NA	NA	NA	NA	2018	1	1	0	0
441	"SMD"	73	226	"Mixed"	"Hermann's tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Testudo"	"hermanni"	1	0	"Survival"	"ESR"	20	0.93	0.14	12	0.83	0.04	NA	NA	NA	NA	2018	1	1	1	0
1065	"SMD"	178	536	"Male"	"Cougar"	"Chordata"	"Mammalia"	"Carnivora"	"Felidae"	"Puma"	"concolor"	-1	0	"Survival"	"ESR"	8	0.85	0.141421356	5	0.75	0.212132034	NA	NA	NA	NA	1998	0	1	0	0
57	"SMD"	9	34	"Mixed"	"Key Largo woodrat"	"Chordata"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotoma"	"floridana"	-1	3	"Survival"	"ISR"	58	0.93	0.15	40	0.52	0.25	NA	NA	NA	NA	2013	0	1	0	2
579	"SMD"	104	281	"Mixed"	"European grayling"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Thymallus"	"thymallus"	1	1.5	"Survival"	"ISR"	49	0.28100646	0.15829775	14	0.15882301	0.096064018	NA	NA	NA	NA	2010	1	1	1	1
589	"SMD"	104	282	"Mixed"	"European grayling"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Thymallus"	"thymallus"	0	1.5	"Survival"	"ISR"	49	0.28100646	0.15829775	13	0.14081256	0.098439763	NA	NA	NA	NA	2010	1	1	0	1
109	"SMD"	15	72	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	7	1	0.16	15	0.88	0.28	NA	NA	NA	NA	2001	0	1	0	1
913	"SMD"	150	476	"Mixed"	"Desert tortoise"	"Chordata"	"Reptilia"	"Testudines"	"Testudinidae"	"Gopherus"	"agassizii"	-1	0	"Survival"	"ESR"	73	-0.03751452	0.163532755	55	-0.0563108	0.213067383	NA	NA	NA	NA	2016	0	1	0	0
244	"SMD"	33	137	"Male"	"Trumpeter swan"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	"Cygnus"	"buccinator"	-1	2.5	"Survival"	"ISR"	35	0.88	0.17	122	0.89	0.21	NA	NA	NA	NA	2002	0	1	0	2
107	"SMD"	15	70	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	5	0.8	0.19	16	0.74	0.38	NA	NA	NA	NA	2001	0	1	0	1
1047	"SMD"	172	524	"Mixed"	"Smooth pimpleback"	"Mollusca"	"Bivalvia"	"Unionoidea"	"Unionidae"	"Cyclonaias"	"pustulosa"	-1	0	"Survival"	"ESR"	40	0.9669362	0.198966716	40	0.8450123	1.095621692	NA	NA	NA	NA	2017	0	1	0	0
182	"SMD"	22	98	"Mixed"	"Sea trout"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Salmo"	"trutta"	-1	1	"Survival"	"ISR"	30	-0.03	0.2	12	-0.17	0.38	NA	NA	NA	NA	2014	0	1	0	1
103	"SMD"	15	66	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	15	0.88	0.21	20	0.9	0.25	NA	NA	NA	NA	2001	0	1	0	1
294	"SMD"	41	162	"Mixed"	"Puaiohi"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	"Myadestes"	"palmeri"	-1	3.5	"Survival"	"ISR"	9	0.85	0.21	7	0.13	0.37	NA	NA	NA	NA	2014	0	1	0	2
381	"SMD"	58	196	"Mixed"	"Aplomado falcon"	"Chordata"	"Aves"	"Falconiformes"	"Falconidae"	"Falco"	"femoralis"	-1	1.5	"Survival"	"ISR"	9	0.87	0.21	16	0.3	0.45	NA	NA	NA	NA	2006	0	1	0	1
395	"SMD"	63	206	"Mixed"	"White-lipped pitviper"	"Chordata"	"Reptilia"	"Squamata"	"Viperidae"	"Trimeresurus"	"albolabris"	-1	0	"Movement"	"ESR"	21	-0.5	0.21	22	-0.67	0.13	NA	NA	NA	NA	2016	0	1	0	0
106	"SMD"	15	69	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	8	0.83	0.22	16	0.81	0.36	NA	NA	NA	NA	2001	0	1	0	1
396	"SMD"	63	206	"Mixed"	"White-lipped pitviper"	"Chordata"	"Reptilia"	"Squamata"	"Viperidae"	"Trimeresurus"	"albolabris"	-1	0	"Movement"	"ESR"	21	-0.52	0.22	22	-0.9	0.36	NA	NA	NA	NA	2016	0	1	0	0
721	"SMD"	120	355	"Mixed"	"Chinook salmon"	"Chordata"	"Actinopterygii"	"Salmoniformes"	"Salmonidae"	"Oncorhynchus"	"tshawytscha"	-1	1.5	"Constitution"	"ISR"	407	-0.29	0.22	280	-0.27	0.18	NA	NA	NA	NA	2004	0	1	0	1
108	"SMD"	15	71	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	6	0.75	0.24	16	0.82	0.34	NA	NA	NA	NA	2001	0	1	0	1
382	"SMD"	58	197	"Mixed"	"Aplomado falcon"	"Chordata"	"Aves"	"Falconiformes"	"Falconidae"	"Falco"	"femoralis"	-1	1.5	"Survival"	"ISR"	15	0.91	0.24	3	0.91	0.11	NA	NA	NA	NA	2006	0	1	0	1
63	"SMD"	11	37	"Male"	"Great Lakes piping plover"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	"Charadrius"	"melodus"	-1	0.5	"Reproduction"	"ISR"	57	3.91	0.25	10	3.82	0.38	NA	NA	NA	NA	2008	0	1	0	1
105	"SMD"	15	68	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	7	0.5	0.25	16	0.71	0.41	NA	NA	NA	NA	2001	0	1	0	1
66	"SMD"	12	38	"Male"	"Snowy plover"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	"Charadrius"	"nivosus"	-1	0.5	"Reproduction"	"ISR"	77	0.4	0.26	6	0.21	0.12	NA	NA	NA	NA	2013	0	1	0	1
101	"SMD"	15	64	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	15	0.79	0.27	26	0.76	0.47	NA	NA	NA	NA	2001	0	1	0	1
102	"SMD"	15	65	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	13	0.8	0.27	17	0.73	0.38	NA	NA	NA	NA	2001	0	1	0	1
67	"SMD"	12	38	"Male"	"Snowy plover"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	"Charadrius"	"nivosus"	-1	0.5	"Reproduction"	"ISR"	139	0.64	0.28	9	0.68	0.28	NA	NA	NA	NA	2013	0	1	0	1
70	"SMD"	12	39	"Female"	"Snowy plover"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	"Charadrius"	"nivosus"	-1	0.5	"Reproduction"	"ISR"	88	0.61	0.28	6	0.48	0.33	NA	NA	NA	NA	2013	0	1	0	1
71	"SMD"	12	39	"Female"	"Snowy plover"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	"Charadrius"	"nivosus"	-1	0.5	"Reproduction"	"ISR"	81	0.45	0.28	6	0.54	0.35	NA	NA	NA	NA	2013	0	1	0	1
99	"SMD"	15	62	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	33	0.9	0.28	19	0.9	0.27	NA	NA	NA	NA	2001	0	1	0	1
98	"SMD"	15	61	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	36	0.91	0.29	16	0.86	0.31	NA	NA	NA	NA	2001	0	1	0	1
104	"SMD"	15	67	"Mixed"	"Bighorn sheep"	"Chordata"	"Mammalia"	"Artiodactyla"	"Bovidae"	"Ovis"	"canadensis"	-1	1	"Survival"	"ISR"	11	0.86	0.29	16	0.57	0.41	NA	NA	NA	NA	2001	0	1	0	1
246	"SMD"	33	138	"Female"	"Trumpeter swan"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	"Cygnus"	"buccinator"	-1	2.5	"Survival"	"ISR"	31	0.83	0.29	109	0.77	0.37	NA	NA	NA	NA	2002	0	1	0	2
